"year","SAM","min.val","max.val","dd_mean","dd_sd"
2003,"NYB_LT80","17.5","50",132.112957000732,81.7810921123186
2010,"NYB_LT80","17.5","50",NA,NA
2017,"NYB_LT80","17.5","50",381.690551031203,311.562187363725
1995,"NYB_LT80","17","50",500.038078398932,359.820746481335
2002,"NYB_LT80","17","50",475.710426194327,268.248580557933
2009,"NYB_LT80","17","50",363.137098312378,176.627631648083
2016,"NYB_LT80","17","50",315.217136791774,261.524942941148
2023,"NYB_LT80","17","50",166.537060328892,113.24795981711
1998,"NYB_LT80","18.5","50",28.8558750152588,13.366965391122
2005,"NYB_LT80","18.5","50",NA,NA
2012,"NYB_LT80","18.5","50",298.537475903829,369.825972197411
2019,"NYB_LT80","18.5","50",252.105952686734,263.569925493569
1997,"NYB_LT80","18","50",146.007765769958,87.4022426005491
2004,"NYB_LT80","18","50",412.934446334839,36.7829466128897
2011,"NYB_LT80","18","50",217.436978340149,256.781512068414
2018,"NYB_LT80","18","50",571.724677630833,246.370178045256
1999,"NYB_LT80","19","50",397.444932238261,301.876325175671
2006,"NYB_LT80","19","50",220.522601214322,126.812014096701
2013,"NYB_LT80","19","50",19.0568256378174,NA
2020,"NYB_LT80","19","50",284.195416220303,198.833969756448
1994,"VIR_LT80","16.5","50",120.057359483507,91.4222344397723
2001,"VIR_LT80","16.5","50",497.870452632075,378.380734256101
2008,"VIR_LT80","16.5","50",556.356549815128,423.175661178382
2015,"VIR_LT80","16.5","50",671.891907135646,460.762957932264
2022,"VIR_LT80","16.5","50",380.744491577148,186.024593889693
1993,"VIR_LT80","16","50",145.281319141388,120.163049278598
2000,"VIR_LT80","16","50",158.217749459403,102.178683532068
2007,"VIR_LT80","16","50",87.8026895523071,50.3602867827271
2014,"VIR_LT80","16","50",857.796521822611,530.744292730018
2021,"VIR_LT80","16","50",38.2451248168945,0.126888313651262
1996,"VIR_LT80","17.5","50",38.6534633636475,27.4786959411624
2003,"VIR_LT80","17.5","50",249.281066322327,224.449425093682
2010,"VIR_LT80","17.5","50",165.441151046753,146.21979653337
2017,"VIR_LT80","17.5","50",408.614501476288,401.794346879633
1995,"VIR_LT80","17","50",595.816195487976,549.755882101412
